source_id,target_id,edge_type,source_db
dolphin::33062,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33063,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33065,disease:87c254ba292b,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33066,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33067,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33069,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33070,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33070,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33071,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33073,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33074,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33075,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33076,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33077,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33078,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33078,disease:87c254ba292b,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33079,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
